
"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"South Sudan","SSD","Air transport, registered carrier departures worldwide","IS.AIR.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Sub-Saharan Africa","SSF","Air transport, registered carrier departures worldwide","IS.AIR.DPRT","","","","","","","","","","","220000","228000","224700","228200","220100","253200","281800","262600","276000","301000","321400","334600","323400","329300","326600","334200","304800","306600","300500","311500","317100","321900","302300","302700","303500","278900","293600","337600","332300","337800","354035","349026","320253","338510","356660","380427","378262","421479","366757","373213","591685.620019651","638799.444494206","661095.249725437","703872.772","680337.126803799","720955","720715","781350","862254.211146022","866998.089","",
"Small states","SST","Air transport, registered carrier departures worldwide","IS.AIR.DPRT","","","","","","","","","","","","","","","","","","","","158000","183100","186700","218200","233700","249500","275400","278600","276100","287100","289300","292100","310900","312600","320100","345800","363800","361500","395800","413100","417900.000976563","411009","429522","","","","","","","","","481986.026412691","503746.768596442","563734.052783548","590169","697384","730597","776682","772097","771688.231729839","755755.583128356","",
"Sao Tome and Principe","STP","Air transport, registered carrier departures worldwide","IS.AIR.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","300","300","700","700","700","700","700","700","700","700","700","700","800","800","1100","1135","1135","1128","1170","1267","1310","1337","1426","1142","1143","","","","","","","","","466","468","",
"Suriname","SUR","Air transport, registered carrier departures worldwide","IS.AIR.DPRT","","","","","","","","","","","","","","","","","1400","1400","2800","3100","3100","3100","2600","2600","2800","2800","800","700","2200","2100","2100","2700","3000","3600","3100","2600","3800","6200","6300","6800","2169","1920","1714","4402","4620","4851","4908","5022","4900","4560","1925","1914.76063829787","2417.51329787234","3420","2796","2995","3309","3385","3225","2668","",
"Slovak Republic","SVK","Air transport, registered carrier departures worldwide","IS.AIR.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1800","1600","2400","3200","3500","5100","5700","2421","1817","4215","6845","12663","13914","14521","23997","24044","32020","2702","990","1439","1824","721.068","70","85","51","","","",
"Slovenia","SVN","Air transport, registered carrier departures worldwide","IS.AIR.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3900","6700","6900","7800","8000","8600","9900","10900","12082","13220","14881","16402","17310","18071","19505","23165","24477","25478","21840","21370","18141","17212","16557","17931","17825","18488","18444","16717","",
"Sweden","SWE","Air transport, registered carrier departures worldwide","IS.AIR.DPRT","","","","","","","","","","","92000","99100","104200","102700","103900","98800","113800","100800","99800","103700","117100","123400","127700","140100","152000","150300","173100","180200","189700","203000","208000","178100","186700","183200","195100","170600","183500","207400","223400","236300","247707","233803","198291","183532","190315","","","","","","","","","","","","","","","","",
"Eswatini","SWZ","Air transport, registered carrier departures worldwide","IS.AIR.DPRT","","","","","","","","","","","","","","600","600","600","600","700","700","500","600","1300","1000","1300","1500","1600","1900","1800","1400","1300","1400","1500","1900","1600","1800","2700","2700","2000","2000","2500","2586","","","","","","","","","","","","","","","","","","2224","2270","",
"Sint Maarten (Dutch part)","SXM","Air transport, registered carrier departures worldwide","IS.AIR.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Seychelles","SYC","Air transport, registered carrier departures worldwide","IS.AIR.DPRT","","","","","","","","","","","","","","","","","2000","2000","2000","2000","2000","2000","6200","6200","9800","12500","16200","14800","14700","14900","15800","16300","6000","13600","13400","14000","17200","17900","18900","18500","18966","20249","22449","18647","19281","19581","19526","20727","11896","11238","12989","14202","11262","14592","14556","17124","19178","20539","18671","18704","",
"Syrian Arab Republic","SYR","Air transport, registered carrier departures worldwide","IS.AIR.DPRT","","","","","","","","","","","4200","4300","5400","4500","7600","6800","8300","8800","8600","7900","7600","8900","8400","8200","6800","5500","7000","7300","6500","9600","11200","12900","9700","8400","8800","8900","9000","10700","9100","11200","13959","13580","12975","13953","16325","16815","17082","18909","18960","19229","12699","15455.407623056","9670.3235106534","5424","5424","168","170","165","167.753530166881","173","",
"Turks and Caicos Islands","TCA","Air transport, registered carrier departures worldwide","IS.AIR.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chad","TCD","Air transport, registered carrier departures worldwide","IS.AIR.DPRT","","","","","","","","","","","4000","4100","3900","4000","3800","4000","4200","4200","4300","4400","4500","2400","2600","2600","2000","2100","2100","1600","1700","1700","1200","1800","1700","1900","1900","2000","2100","1800","1800","1500","1518","716","","","","","","","","","699.531448355453","984","664","72","72","","","","","","",
"East Asia & Pacific (IDA & IBRD countries)","TEA","Air transport, registered carrier departures worldwide","IS.AIR.DPRT","","","","","","","","","","","","","","","305900","335000","352000","350600","359600","405400","414800","454700","473200","484100","586000","598800","632200","694300","759600","735000","798300","817600","883800","903900","1033000","1132000","1297800","1216800","1240700","1148500","1214474","1521532","1613668","1584801","2066109","2217764","2452518","2700805","2796487","3093117","3844008.02667228","4195951.46318126","4536353.00081976","4864727.3179955","5436093.35151099","5872686","6431560","6919854.67","7387754.84148969","7636368","",
"Europe & Central Asia (IDA & IBRD countries)","TEC","Air transport, registered carrier departures worldwide","IS.AIR.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1061500","961000","898200","771400","691600","583200","660600","677777","725169","713991","759539","827774","856265","931341","1002485","1109461","1114171","1289975.22735896","1437239.38610583","1524519.82022895","1671542.50323624","1798548.52","1898797","1954498","2078621","2173188.545","2262668.332","",
"Togo","TGO","Air transport, registered carrier departures worldwide","IS.AIR.DPRT","","","","","","","","","","","1500","1400","1200","1200","1200","1300","1500","1400","1400","1500","1400","1300","1400","1400","1300","1400","1100","1000","1100","1100","500","1200","1100","1300","1300","1300","1500","1500","1500","1500","1518","716","","","","","","","","","8164","10745","10264","11484","10599.370360014","9947","10725","10485","11559","12011.999","",
"Thailand","THA","Air transport, registered carrier departures worldwide","IS.AIR.DPRT","","","","","","","","","","","25600","27300","26600","26900","28800","29700","29500","28400","29000","30800","32600","34100","36800","40000","44200","47400","49600","48300","54600","61800","69500","69800","72700","76200","80700","86500","91700","94900","93500","95400","101591","102414","97750","93576","128178","124347","126845","129703","125907","123541","201306","227322","252368.898405228","298450","338053.981662592","392664","413880","448477","475886.496","489963","",
"Tajikistan","TJK","Air transport, registered carrier departures worldwide","IS.AIR.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3200","3500","2600","2600","2600","3800","3953","4511","5936","7210","8494","6987","2976","7891","8191","9758","5709.66891573827","7320","6529.89687626775","6263","7985","6884","6472","4135","4021","4283","",
"Turkmenistan","TKM","Air transport, registered carrier departures worldwide","IS.AIR.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12500","12500","8700","8700","8800","18500","21858","23963","23963","24460","16316","14094","15602","15590","15665","15337","3221","1617.84131054131","1440.73219373219","12871.0166080453","6068.32","8548","12890","16843","18184","17075","",
"Latin America & the Caribbean (IDA & IBRD countries)","TLA","Air transport, registered carrier departures worldwide","IS.AIR.DPRT","","","","","","","","","","","696700","663000","675900","689000","728300","749400","770800","756300","766700","859000","933500","918700","1029000","1120000","1162800","1136900","1154500","1175700","1160400","1181100","1192900","1218400","1260800","1353900","1412700","1430600","1498300","1701200","1777500","1938700","1795191","1875770","1720239","1528729","1543862","1611517","1649988","1787182","1755794","1797292","2255941.2373442","2384451.96568567","2503306.41141084","2675506.41507694","2771753.99664724","2832631","2757267","2685336","2740715.29213874","2781848.58312836","",
"Timor-Leste","TLS","Air transport, registered carrier departures worldwide","IS.AIR.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Middle East & North Africa (IDA & IBRD countries)","TMN","Air transport, registered carrier departures worldwide","IS.AIR.DPRT","","","","","","","","","","","105400","112300","121700","139000","154700","165800","191100","197100","203000","189400","185000","184200","187400","213000","210200","199700","211900","208800","220900","225700","223400","211300","218800","224500","233400","229500","249200","277600","271000","271700","296322","356337","297723","340925","333384","360734","391697","412178","382907","419054","556612.177222359","530059.433902329","511465.28530907","556102.5","571311.141616393","510478","556552","624693.468","636327.753530167","608353","",
"Tonga","TON","Air transport, registered carrier departures worldwide","IS.AIR.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","1200","1200","4500","5900","4800","4800","4300","4300","4300","4300","4800","4800","5200","3700","3700","3800","3814","4157","4323","4453","5255","","","","","","","","","","","","","","","","",
"South Asia (IDA & IBRD)","TSA","Air transport, registered carrier departures worldwide","IS.AIR.DPRT","","","","","","","","","","","162000","120100","140800","150700","129200","158000","166600","175000","183600","184000","185200","184400","187700","199800","209400","235900","250800","257800","268700","272600","245300","234900","242700","228400","257300","298700","284100","314700","323400","291800","296548","294067","299963","338691","391577","419742","548761","666865","691007","700428","799070.004661475","894201.031775018","864800.192205104","900742.4","966479.12","1026248","1173973","1313166","1476056.363","1417734","",
"Sub-Saharan Africa (IDA & IBRD countries)","TSS","Air transport, registered carrier departures worldwide","IS.AIR.DPRT","","","","","","","","","","","220000","228000","224700","228200","220100","253200","281800","262600","276000","301000","321400","334600","323400","329300","326600","334200","304800","306600","300500","311500","317100","321900","302300","302700","303500","278900","293600","337600","332300","337800","354035","349026","320253","338510","356660","380427","378262","421479","366757","373213","591685.620019651","638799.444494206","661095.249725437","703872.772","680337.126803799","720955","720715","781350","862254.211146022","866998.089","",
"Trinidad and Tobago","TTO","Air transport, registered carrier departures worldwide","IS.AIR.DPRT","","","","","","","","","","","12500","10300","9400","9000","8000","12100","13600","11800","8300","12200","15100","13700","24200","23200","23300","22800","25000","20000","21300","21800","21500","23400","23100","23900","28000","29400","13700","12400","12500","20900","25982","27908","23076","17731","17483","14298","13878","14703","15017","14247","28909","36648.0737879789","36648.0737879789","36564","36216","35127","29892","32589","33475","35175","",
"Tunisia","TUN","Air transport, registered carrier departures worldwide","IS.AIR.DPRT","","","","","","","","","","","6600","5700","6900","8600","9500","11200","11300","10800","11300","12500","12300","13500","13800","13700","13800","13800","11200","13000","12500","13100","12900","12300","12500","13300","14400","14900","13800","17200","19700","20100","19907","19385","18538","18738","20554","21268","21715","21734","24385","24225","31098","32179.9168975069","37233","48804","60419","35540","38631","39856","41446","36763","",
"Turkey","TUR","Air transport, registered carrier departures worldwide","IS.AIR.DPRT","","","","","","","","","","","28700","32000","34700","36700","30600","27200","32000","33400","30400","31400","18900","25300","24000","24600","28400","31600","31700","32900","36800","38300","44200","38600","58600","70500","75100","78500","84900","92800","103900","111400","119945","111342","105996","104377","121815","145952","177088","197132","215275","271835","369174","420222","476115","568212.396628194","628104","706067","743673","742260","772925.545","741933","",
"Tuvalu","TUV","Air transport, registered carrier departures worldwide","IS.AIR.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Tanzania","TZA","Air transport, registered carrier departures worldwide","IS.AIR.DPRT","","","","","","","","","","","10500","10000","9600","11500","9000","13700","14900","4100","8900","13000","17500","18700","13400","11800","10400","13800","11200","12300","12100","8000","7500","9400","7500","5700","5400","5600","6100","6000","6100","5000","5973","4360","4401","6082","6441","6062","5068","5457","5460","21088","21825","26332.300586101","28130.4720729721","27625.772","31106.181","35374","27422","47741","90017","91864","",
"Uganda","UGA","Air transport, registered carrier departures worldwide","IS.AIR.DPRT","","","","","","","","","","","10500","10100","7300","1700","1200","2200","2800","","","","1500","2700","2800","3100","2100","1100","1800","1700","1200","2000","2000","800","500","1500","1500","900","900","900","900","3000","263","266","263","263","302","317","330","353","349","359","6290","4879","5990","8616","6864","2332","3828","1953","3777","3417.3","",
"Ukraine","UKR","Air transport, registered carrier departures worldwide","IS.AIR.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","45400","26400","11400","22600","27700","30600","29800","29500","27973","32864","26859","39778","42374","41911","48562","30029","52509","58756","66038","76652.2681818182","73378.9426182735","58474.09","47927.4","45688","55261","63315","66712","62113.332","",
"Upper middle income","UMC","Air transport, registered carrier departures worldwide","IS.AIR.DPRT","","","","","","","","","","","","","","","896500","921500","964300","945000","961100","1052300","1133500","1126900","1229400","1331800","1396200","1394900","1423100","1501700","1520600","1536600","1648300","1636200","1704300","2736100","2776200","2782600","2820200","2999100","2973100","3146800","3051987","3351883","3366851","3249508","3661361","3903856","4201351","4651036","4783224","5143470","6236164.96174839","6668853.25209153","7127971.363989","7847200.28607006","8399418.16925113","8953967","9265718","9773047.05","10328942.676","10730770","",
"Uruguay","URY","Air transport, registered carrier departures worldwide","IS.AIR.DPRT","","","","","","","","","","","6800","7000","4800","5000","10400","10400","12200","11900","10900","11900","13000","11000","10500","8500","8500","8100","5600","5800","5200","7700","5000","5000","5100","8500","9000","9000","6700","8200","9900","10300","10852","9550","8404","7032","8343","8934","8666","9186","9388","8731","","","","","","","","","","","",
"United States","USA","Air transport, registered carrier departures worldwide","IS.AIR.DPRT","","","","","","","","","","","5099200","4999200","4985200","5058200","4650400","4576100","4690500","4795900","4857000","5041800","4962700","4628300","4572100","4810900","5206200","5553900","6106000","6398000","6628500","6522100","6848600","6623900","6578100","6427800","7250000","7682200","8031800","7942900","7824400","8511400","8820878","8535240","8038761","7789108","9566226","9969599","9738983","9815504","9054478","9182363","10095197","10057768","9864360","9745498","9556324","9498668","9640591","9639096","9880509","10099031","",
"Uzbekistan","UZB","Air transport, registered carrier departures worldwide","IS.AIR.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15600","16200","11500","11500","11700","30800","30075","39673","22543","22325","22698","22183","21514","22265","22406","23176","22924","23773","24328","23962","23149","22579","21486","21730","21514","25300","",
"St. Vincent and the Grenadines","VCT","Air transport, registered carrier departures worldwide","IS.AIR.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Venezuela, RB","VEN","Air transport, registered carrier departures worldwide","IS.AIR.DPRT","","","","","","","","","","","70100","65600","68900","75500","74000","78300","77500","82200","85100","136200","125200","119500","124700","129900","127200","97900","96700","88000","102700","115200","82000","81100","97700","107100","94200","80300","82800","72700","67400","130200","138500","223075","166807","110062","123232","135574","139671","140774","137900","123646","84065","83106","78583.1623779542","92813","90235","73509","64058","43138","22447","16027","",
"British Virgin Islands","VGB","Air transport, registered carrier departures worldwide","IS.AIR.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Virgin Islands (U.S.)","VIR","Air transport, registered carrier departures worldwide","IS.AIR.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Vietnam","VNM","Air transport, registered carrier departures worldwide","IS.AIR.DPRT","","","","","","","","","","","39600","24100","20300","18200","16000","4500","","","","","200","600","600","1600","1600","1800","1800","1800","1800","1800","1800","3700","3700","16800","21200","27100","27800","33500","29700","29000","28999","35658","42588","41996","50855","54415","50840","60218","74739","83720","109176","135905.672936536","135300.414088577","149527.817","167386.363","205217","248580","264548","283787","332029","",
"Vanuatu","VUT","Air transport, registered carrier departures worldwide","IS.AIR.DPRT","","","","","","","","","","","","","","","","","","","","","","","400","400","300","200","300","300","300","300","300","600","700","1100","1300","1600","1600","1700","2100","1300","1402","1446","1547","1211","1477","1580","1643","1742","1775","1667","17212","11218.2976736216","11905","12144","10848","10425","9037","12287","11723","13866","",
"World","WLD","Air transport, registered carrier departures worldwide","IS.AIR.DPRT","","","","","","","","","","","9448300","9504500","","9764900","9254900","9244700","9562900","9915900","10183700","10653400","10704900","10270100","10335800","10758700","11404000","11897900","12677000","13244800","13880900","14021100","14583900","14360900","14918800","15986200","17218900","18008200","18953600","19546600","19653200","20736600.0009766","22008658","22264220","20817389","21282617","23752616","24215712","24829383","26016011","25498093","26122523","29637929.5405283","30564978.0951817","30771384.5860793","31464398.8821721","32339781.9790769","33362839","34687965","35703836.058","36828232.2483859","37461913.8191284","",
"Samoa","WSM","Air transport, registered carrier departures worldwide","IS.AIR.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6500","1200","9900","10700","10877","11802","12317","9010","10691","11439","12752","12658","12699","12492","","","","","9144","11759","13805","6098","6848","6220","",
"Kosovo","XKX","Air transport, registered carrier departures worldwide","IS.AIR.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Yemen, Rep.","YEM","Air transport, registered carrier departures worldwide","IS.AIR.DPRT","","","","","","","","","","","2200","2800","2900","3000","3100","3100","6800","7000","7100","7100","9200","9300","7900","9500","9900","9900","15300","13700","14600","13800","14100","11300","13900","13100","12400","4900","11800","7000","7300","7800","14608","14973","15495","14706","16746","17306","18843","14403","14462","14652","20600","20176.7285260675","16807.4072955955","16932","16056","5126","4538","1669","2342","","",
"South Africa","ZAF","Air transport, registered carrier departures worldwide","IS.AIR.DPRT","","","","","","","","","","","39800","46000","47600","47800","55700","58600","59400","58500","58100","63100","64600","69800","70100","64100","67200","64200","51000","55800","60800","81200","84000","78600","79900","93700","89300","74300","88400","102200","93200","103800","110392","122561","116985","130938","133222","148146","146648","152550","156567","151292","190441","191506.866330359","197817.300311111","184763","199600.522813668","209734","212865","216275","234156","243803","",
"Zambia","ZMB","Air transport, registered carrier departures worldwide","IS.AIR.DPRT","","","","","","","","","","","9300","10600","10800","10000","10000","11200","12800","9300","10500","9200","6800","5400","6500","6000","5700","4700","4900","5400","5600","2900","6500","2800","2700","4200","4300","","","1200","1200","5400","6118","4886","4875","5214","5825","5965","6013","6396","4361","","9730","11497","8288","7997","8050","11130","8094","9020","1241","1298","",
"Zimbabwe","ZWE","Air transport, registered carrier departures worldwide","IS.AIR.DPRT","","","","","","","","","","","10400","10800","10800","11400","","","","","","","10900","11100","11100","10800","10600","9400","8900","8800","9700","10000","10300","13300","13500","11000","9800","9900","10000","17700","17800","15300","13603","8848","5050","3950","4269","4410","6819","7272","5917","5937","7077","10020.7056112793","11560.3678539236","27684","3730","4145","4231","3444","3444","","",
